id,artist,title,year
10108074,Led Zeppelin,Led Zeppelin = レッド・ツェッペリン ,2012
4146289,Led Zeppelin,Houses Of The Holy = 聖なる館,1992
12974227,Led Zeppelin,Untitled = レッド・ツェッペリン　ＩＶ,1972
3154976,Led Zeppelin,Riverside Blues,1989
4932594,Led Zeppelin,The Song Remains The Same,2000
4056707,Led Zeppelin,One Night Stand,2012
1352514,The Rolling Stones,Все Вместе = All Together,1989
8217129,The Rolling Stones,Goats Head Soup = 山羊の頭のスープ,1986
5625801,The Rolling Stones,It's Only Rock 'N Roll = イッツ・オンリー・ロックン・ロール,1989
8466947,The Rolling Stones,Undercover = アンダーカヴァー,1989
16195667,The Rolling Stones,The Stones In The Park,2003
14695430,The Rolling Stones,Goats Head Soup = 山羊の頭のスープ,1989
7720149,The Rolling Stones,Леди Джейн = Lady Jane,1988
8217253,The Rolling Stones,Sucking In The Seventies = サッキング・イン・ザ・’７０ｓ,1986
16549392,The Rolling Stones,A Bigger Bang = ア・ビガー・バン,2020
12500642,The Rolling Stones,Empty Heart,1965
14004297,The Rolling Stones,Best Artist Collection,0
15809285,The Rolling Stones,Игра С Огнем = Play With Fire,1988
3788372,The Rolling Stones,Все Вместе = All Together,1989
7702695,The Rolling Stones,More Hot Rocks (Big Hits & Fazed Cookies) = モア・ホット・ロックス+3,2013
13132616,The Rolling Stones,ザ・ローリング・ストーンズ,0
4708230,The Rolling Stones,Все Вместе = All Together,1991
7153967,The Rolling Stones,Все Вместе = All Together,1990
7183565,The Rolling Stones,Goats Head Soup = 山羊の頭のスープ,1989
16549281,The Rolling Stones,Bridges To Babylon = ブリッジズ・トゥ・バビロン,2020
11759685,The Rolling Stones,Goats Head Soup = 山羊の頭のスープ,1993
15809209,The Rolling Stones,Игра С Огнем = Play With Fire,1988
16636572,The Rolling Stones,Леди Джейн = Lady Jane,1988
14695066,The Rolling Stones,Love You Live = ラブ・ユー・ライブ,1989
2974499,The Rolling Stones,Все Вместе = All Together,1989
10700545,The Rolling Stones,Все Вместе = All Together,1990
380397,The Rolling Stones,Игра С Огнем = Play With Fire,1988
4957844,The Rolling Stones,Their Satanic Majesties Request = サタニック・マジェスティーズ,1968
9413056,The Rolling Stones,Heartbreakers 14 Rock & Shake = ハートブレイカーズ 14 ロック&シェイク,1981
7413820,The Rolling Stones,Exile On Main St. = メイン・ストリートのならず者,1986
5366532,The Rolling Stones,Undercover = アンダーカヴァー,1986
16545573,The Rolling Stones,It's Only Rock 'N Roll = イッツ・オンリー・ロックン・ロール,2020
15809328,The Rolling Stones,Игра С Огнем = Play With Fire,1988
14695408,The Rolling Stones,Undercover = アンダーカヴァー,1989
