id,artist,title,year
9766144,Huey Lewis & The News,Give Me The Keys (And I'll Drive You Crazy),1988
15131271,Huey Lewis & The News,Plan B,2001
14955588,Huey Lewis & The News,The Heart Of Rock & Roll (The Best Of Huey Lewis And The News),1992
12840691,Huey Lewis & The News,In The Studio - Sports,1993
9028017,Huey Lewis & The News,Live At 25,2005
10384634,Huey Lewis & The News,The Heart Of Rock & Roll,0
14820543,Huey Lewis & The News,(She's) Some Kind Of Wonderful ,1994
3179673,Huey Lewis & The News,(She's) Some Kind Of Wonderful,1994
14082385,Huey Lewis & The News,Heart And Soul,1983
13808078,Huey Lewis & The News,Doing It All For My Baby / The Power Of Love,1988
15036208,Huey Lewis & The News,Hip To Be Square,1986
14129864,Huey Lewis & The News,Some Of My Lies Are True (Sooner Or Later),1980
14555781,Huey Lewis & The News,Small World,1988
16236822,Huey Lewis & The News,Plan B,2001
14766940,Huey Lewis & The News,Small World,1988
12703794,Huey Lewis & The News,Jacobs Ladder / The Heart Of Rock And Roll,1987
15516648,Huey Lewis & The News,Small World,1988
1520120,Huey Lewis & The News,Fore!,1986
1997521,Huey Lewis & The News,Small World,1988
1185721,Huey Lewis & The News,The Heart Of Rock & Roll (The Best Of Huey Lewis And The News),1992
1325531,Huey Lewis & The News,Huey Lewis And The News,1980
1809272,Huey Lewis & The News,Small World,1988
2546411,Huey Lewis & The News,Four Chords & Several Years Ago,1994
980521,Huey Lewis & The News,Four Chords & Several Years Ago,1994
7067392,Huey Lewis & The News,Fore!,1986
347678,Huey Lewis & The News,If This Is It,1984
1477111,Huey Lewis & The News,Doing It All For My Baby,1987
12361046,Huey Lewis & The News,The Power Of Love,1985
1612574,Huey Lewis & The News,Perfect World,1988
10550239,Huey Lewis & The News,Picture This,1983
14932583,Huey Lewis & The News,Collected,2020
12115474,Huey Lewis & The News,The Heart Of Rock & Roll (The Best Of Huey Lewis And The News),0
1355325,Huey Lewis & The News,If This Is It,1984
3206509,Huey Lewis & The News,Sports,1983
2819765,Huey Lewis & The News,Simple As That,1987
2129896,Huey Lewis & The News,Walking On A Thin Line,1984
995816,Huey Lewis & The News,I Want A New Drug,1983
4351159,Huey Lewis & The News,Fore!,1986
3050602,Huey Lewis & The News,Greatest Hits & Videos,2006
1232066,Huey Lewis & The News,Stuck With You,1986
8396471,Huey Lewis & The News,Sports,1984
5703514,Huey Lewis & The News,Hard At Play,1991
9226787,Huey Lewis & The News,Huey Lewis And The News,0
11449151,Huey Lewis & The News,Hard At Play,1991
4317068,Huey Lewis & The News,Picture This,0
3611371,Huey Lewis & The News,Do You Believe In Love,1982
2386259,Huey Lewis & The News,Sports,1985
4621472,Huey Lewis & The News,Hard At Play,1991
4786899,Huey Lewis & The News,The Power Of Love: Best Of Huey Lewis And The News,1997
12364912,Huey Lewis & The News,Fore!,1986
8573411,Huey Lewis & The News,Sports,2013
12594732,Huey Lewis & The News,Sports,0
8177219,Huey Lewis & The News,Walking With The Kid,1989
12505894,Huey Lewis & The News,Small World,0
6209676,Huey Lewis & The News,Hip To Be Square,1986
12009556,Huey Lewis & The News,Fore!,1986
4823705,Huey Lewis & The News,The Power Of Love / Bad Is Bad,1989
4161028,Huey Lewis & The News,Sports,1984
